    0.349903193218175590E+00    0.547690948403510447E+02   -0.120732716261032191E+01   -0.198869792877652003E+02   -0.248564654594127781E+02
    0.337348998849151427E+00    0.992592887426374375E+02   -0.122369770307171866E+01   -0.186314003902683822E+02   -0.246034846279739732E+02
    0.320229171377102273E+00    0.690827559508438185E+02   -0.832340859117825627E+00   -0.193408144002649038E+02   -0.244141277705471751E+02
    0.309306062488700628E+00    0.576915580811801689E+02   -0.116759676797626888E+01   -0.197828377574176031E+02   -0.243667286668123282E+02
    0.287333551063615356E+00    0.809334872782660568E+02   -0.120472758326999108E+01   -0.190891258890990230E+02   -0.240715551689247640E+02
    0.306744107457852522E+00    0.603369056464903224E+02   -0.120954313950550230E+01   -0.196979350637969475E+02   -0.237908798627602849E+02
    0.347332737796348989E+00    0.687953321174975656E+02   -0.985867537255741055E+00   -0.193612278168897838E+02   -0.234555215077447556E+02
    0.304934647377297696E+00    0.552367158679315438E+02   -0.123701423533158694E+01   -0.198991530555251330E+02   -0.232736702644309901E+02
    0.353063135708895637E+00    0.570100599355473676E+02   -0.129164031621935216E+01   -0.198221294492978153E+02   -0.232534316186523817E+02
    0.258882015271683585E+00    0.953497649665342522E+02   -0.905201346579811883E+00   -0.186756478815879667E+02   -0.231973849121450115E+02
    0.292986156713604284E+00    0.999320376160539894E+02   -0.789312977065383059E+00   -0.185334336968053464E+02   -0.230578966608945706E+02
    0.326450311040044405E+00    0.852788779022031065E+02   -0.134727307694173382E+01   -0.189779762094129545E+02   -0.230324966831597955E+02
    0.315587846607633560E+00    0.876517127773807232E+02   -0.901929360167148531E+00   -0.188212779412407123E+02   -0.230019644265424219E+02
    0.280879091986520169E+00    0.909463725710550932E+02   -0.105024083711787641E+01   -0.188140220192520502E+02   -0.229915489768261345E+02
    0.322628265482978183E+00    0.875960352118501362E+02   -0.117858823628236120E+01   -0.188726188651302742E+02   -0.229470599828702717E+02
    0.295638781244341287E+00    0.987146498806165766E+02   -0.111258228155911532E+01   -0.186143243105409084E+02   -0.228600009808841946E+02
    0.352706387439982172E+00    0.780409330626866620E+02   -0.118121369859679204E+01   -0.191173571416453001E+02   -0.228548057817451848E+02
    0.337558404553993052E+00    0.694757003546430525E+02   -0.922063743072287778E+00   -0.193360332311065122E+02   -0.227181430306302765E+02
    0.343835156763569683E+00    0.928211828793870666E+02   -0.127270275289119184E+01   -0.187595400410244295E+02   -0.226835746588686575E+02
    0.352565525117966572E+00    0.745445142319863550E+02   -0.119531055863365765E+01   -0.192199512649255020E+02   -0.226834668181587986E+02
